OTU.rep	Domain	Phylum	Class	Order	Family	Genus
JX001054.1.1426	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	NA	NA
JX079350.1.1265	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
JX223903.1.1367	Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	uncultured
JX224846.1.1378	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	uncultured
JX280051.1.1507	Bacteria	Proteobacteria	MACA-EFT26	NA	NA	NA
JX391360.1.1493	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XII Incertae Sedis	Fusibacter
JX491638.1.1415	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
JX534173.1.1480	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
KC119130.1.1436	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistrella
KC169813.1.1422	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter clade AS-21 lineage
KC253348.1.1484	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Alpinimonas
KC437103.1.1218	Archaea	Thaumarchaeota	AK31	NA	NA	NA
AB013919.1.1526	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
AB015569.1.1420	Bacteria	Candidate division OD1	NA	NA	NA	NA
AB177128.1.1412	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	uncultured
AB491819.1.1460	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter
AB586700.1.1459	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora
AB602425.1.1446	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Nonlabens
AF054286.1.1400	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
AF228694.1.1496	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Teredinibacter
AF411072.1.1466	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
AJ271654.1.1510	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
AJ276807.1.1495	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
AJ295154.1.1437	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
AJ421444.1.1504	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
AJ628163.1.1285	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
AJ879931.27.1416	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrospira
AM040112.1.1484	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Winogradskyella
AM913910.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
AM935269.1.1313	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
AM935393.1.1357	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
AM936305.1.1318	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
AY082465.1.1381	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured
AY114316.1.1406	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured
AY354848.1.1499	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
AY682198.1.1396	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella
AY726842.1.1227	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
AY771732.1.1500	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Aequorivita
CP000608.545573.547101	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
CU466781.2.1356	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	uncultured
CU914841.2.1380	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
CU924480.1.1336	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Family Incertae Sedis	Candidatus Microthrix
D12786.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Mycoplana
DI002564.1.1491	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Gilvimarinus
DQ015812.1.1518	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella
DQ116009.1.1422	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
DQ248235.1.1498	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
DQ289934.1.1387	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Candidatus Amoebophilus
DQ325517.1.1501	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
DQ327688.1.1330	Bacteria	Proteobacteria	Alphaproteobacteria	BF195	NA	NA
DQ334609.1.1286	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
DQ395935.1.1489	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	NA	NA
DQ499292.1.1463	Bacteria	Chloroflexi	SAR202 clade	NA	NA	NA
DQ521496.1.1434	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
DQ631695.1.1342	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax
DQ917850.1.1457	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
EF019937.1.1339	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	uncultured	NA
EF076168.1.1504	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
EF092226.1.1280	Bacteria	Proteobacteria	ARKDMS-49	NA	NA	NA
EF098680.1.1409	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	NA
EF207559.1.1335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola
EF424395.1.1359	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
EF516583.1.1441	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Family Incertae Sedis	Candidatus Microthrix
EF659436.1.1520	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	SV1-8
EF687202.1.1360	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	uncultured
EU052242.1.1496	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
EU133154.1.1320	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	NA
EU175884.1.1317	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Croceibacter
EU333880.1.1447	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
EU434457.1.1464	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
EU463145.1.1389	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured
EU463401.1.1376	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured
EU470044.1.1399	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured
EU487885.1.1483	Bacteria	Chloroflexi	Dehalococcoidia	Sh765B-AG-111	NA	NA
EU570870.1.1497	Bacteria	Bacteroidetes	VC2.1 Bac22	NA	NA	NA
EU579438.1.1216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
EU652615.1.1509	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	uncultured
EU675665.1.1262	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia
EU703489.1.1401	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
EU704796.1.1279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
EU776410.1.1294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae Sedis
EU799064.1.1463	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
EU799457.1.1510	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43 clade
EU800930.1.1488	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	uncultured
EU801444.1.1452	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Chesapeake-Delaware Bay	NA
EU801454.1.1496	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
EU803554.1.1389	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera
EU925848.1.1495	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	OM60(NOR5) clade
FJ191702.1.1413	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
FJ416094.1.1501	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidiferrobacter
FJ478940.1.1496	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
FJ497430.1.1448	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Maritimimonas
FJ497500.1.1446	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	uncultured
FJ562136.1.1247	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
FJ615117.1.1295	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
FJ626898.1.1394	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	uncultured
FJ652471.1.1378	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	NA
FJ670987.1.1366	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
FJ687994.1.1250	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
FJ712556.1.1380	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
FJ712561.1.1401	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidiferrobacter
FJ717198.1.1536	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Amphritea
FJ745254.1.1321	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SHWN-night2	NA
FJ793780.1.1231	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
FJ802365.1.1234	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
FJ820453.1.1493	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium
FJ849119.1.1404	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
FJ900321.1.1504	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	NA	NA
FJ900340.1.1447	Bacteria	Chloroflexi	SAR202 clade	NA	NA	NA
FJ937873.1.1447	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
FJ959872.1.1393	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
FM242449.1.1459	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	T9d	NA
FM954976.1.1379	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
FQ659946.1.1342	Bacteria	Proteobacteria	TA18	NA	NA	NA
FR670380.1.1577	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
FR683596.1.1495	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
FR683976.1.1448	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
FR684543.1.1448	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
FR714339.1.1380	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
FR714410.1.1385	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured
GQ135136.1.1300	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	GZKB124	NA
GQ347243.1.1343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
GQ379584.1.1213	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
GQ483460.1.1493	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
GQ500729.1.1524	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	NA	NA
GU061099.1.1386	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter
GU179584.1.1370	Bacteria	Proteobacteria	Epsilonproteobacteria	R103-B63	NA	NA
GU179613.1.1379	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
GU181421.1.1378	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
GU305749.1.1449	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
GU384264.1.1287	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
GU451391.1.1242	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
GU451559.1.1213	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	uncultured
GU451596.1.1214	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured
GU563762.1.1497	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
HE574919.1.1285	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
HF558543.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
HM032798.1.1347	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas
HM057783.1.1469	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
HM066248.1.1463	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
HM126718.1.1451	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Robiginitalea
HM161878.1.1423	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
HM186853.1.1331	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	NA	NA
HM187412.1.1331	Bacteria	Chloroflexi	TK10	NA	NA	NA
HM438161.1.1503	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	NA	NA
HM448809.1.1388	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
HM566000.1.1358	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio
HM799024.1.1432	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
HQ010186.1.1251	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
HQ163241.1.1352	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417 marine group
HQ225328.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured
HQ270236.1.1518	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	uncultured
HQ397435.1.1497	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Porticoccus
HQ631970.1.1307	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola
HQ658355.1.1449	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Pseudaminobacter
HQ664695.1.1341	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
HQ692000.1.1330	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	NA	NA
HQ908719.1.1369	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius
JF103639.1.1333	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
JF139778.1.1339	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
JF179986.1.1364	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
JF209152.1.1338	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
JF272103.1.1481	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula
JF344128.1.1458	Bacteria	Proteobacteria	Class Incertae Sedis	Order Incertae Sedis	Family Incertae Sedis	Candidatus Thiobios
JF344272.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	uncultured
JF411430.1.1435	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
JF421133.1.1506	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	C1-B045
JF495305.1.1456	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
JF769641.1.1480	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	NA	NA
JF935231.1.1447	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	NA	NA
JN018439.1.1411	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
JN123481.1.1434	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	NA	NA
JN230203.1.1411	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
JN232987.1.1459	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella
JN233439.1.1388	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera
JN391970.1.1473	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
JN411444.1.1265	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
JN448063.1.1245	Bacteria	Candidate division OD1	NA	NA	NA	NA
JN485455.1.1370	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
JN675973.1.1403	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
JN869184.1.1485	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
JN977371.1.1551	Bacteria	Acidobacteria	Acidobacteria	Subgroup 9	NA	NA
JQ062626.1.1392	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
JQ068779.1.1513	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
JQ180410.1.1244	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
JQ259859.1.1457	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Algibacter
JQ287277.1.1483	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	uncultured
JQ427965.1.1515	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11 terrestrial group	NA	NA
JQ454461.1.1386	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
JQ579688.1.1490	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured
JQ612233.1.1479	Bacteria	Chloroflexi	SAR202 clade	NA	NA	NA
JQ663875.1.1482	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
JQ675500.1.1252	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
JQ716290.1.1504	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
JQ716297.1.1501	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium
JQ800702.1.1487	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sediminibacter
JQ800740.1.1478	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
JQ958833.1.1271	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter
JX114403.1.1511	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	NA	NA
JX222422.1.1473	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	uncultured
JX240884.1.1465	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius
JX240951.1.1427	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
JX279906.1.1345	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured
JX391754.1.1489	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
JX502619.1.1455	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium
JX519190.1.1299	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
JX559249.1.1497	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
KC000367.1.1309	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
KC009933.1.1519	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	uncultured	NA
X85242.1.1475	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
AB023373.1.1434	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
AB491831.1.1456	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lutimaribacter
AB622941.1.1314	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
AB694431.1.1375	Bacteria	Chloroflexi	SAR202 clade	NA	NA	NA
AB694486.1.1520	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
AJ295651.1.1362	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella
AJ310686.1.1503	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
AM422448.1.1415	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
AM882569.1.1500	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	NA
AM930434.1.1391	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicibacter
AM935755.1.1344	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia
AM937247.1.1433	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
AM997302.1.1457	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
AM997528.1.1474	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	NA
AM997875.1.1458	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
AMPR01000503.2579.4113	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
AY592131.1.1324	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	NA
AY627433.1.1244	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
AY726926.1.1207	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	NA	NA
AY862188.1.1458	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Gilvimarinus
CP000155.1900029.1901563	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Hahella
CU466888.2.1328	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
CU918509.1.1281	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
CU919014.74.1379	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
DQ015824.1.1489	Bacteria	Bacteroidetes	Cytophagia	Order III Incertae Sedis	Family Incertae Sedis	Balneola
DQ109926.1.1389	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
DQ125598.1.1448	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
DQ129390.1.1367	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	NA	NA
DQ269073.1.1411	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured
DQ334639.1.1296	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	NA
DQ351763.1.1478	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Lutibacter
DQ352839.1.1507	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus
